CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
136,RUNNING,1773939541.87,0.00,862.0,SUCCESS,Active execution on GPU
137,RUNNING,1773939546.87,0.00,1293.0,SUCCESS,Active execution on GPU
138,RUNNING,1773939551.88,0.00,1939.5,SUCCESS,Active execution on GPU
139,RUNNING,1773939606.89,0.00,862.0,SUCCESS,Active execution on GPU
140,RUNNING,1773939611.90,0.00,1293.0,SUCCESS,Active execution on GPU
141,RUNNING,1773939616.90,0.00,1939.5,SUCCESS,Active execution on GPU
142,RUNNING,1773939671.92,0.00,862.0,SUCCESS,Active execution on GPU
143,RUNNING,1773939676.93,0.00,1293.0,SUCCESS,Active execution on GPU
144,RUNNING,1773939681.93,0.00,1939.5,SUCCESS,Active execution on GPU
145,RUNNING,1773939736.96,0.00,862.0,SUCCESS,Active execution on GPU
146,RUNNING,1773939741.96,0.00,1293.0,SUCCESS,Active execution on GPU
147,RUNNING,1773939746.97,0.00,1939.5,SUCCESS,Active execution on GPU
148,RUNNING,1773939801.99,0.00,862.0,SUCCESS,Active execution on GPU
149,RUNNING,1773939807.00,0.00,1293.0,SUCCESS,Active execution on GPU
150,RUNNING,1773939812.00,0.00,1939.5,SUCCESS,Active execution on GPU
151,RUNNING,1773939867.02,0.00,862.0,SUCCESS,Active execution on GPU
152,RUNNING,1773939872.02,0.00,1293.0,SUCCESS,Active execution on GPU
153,RUNNING,1773939877.02,0.00,1939.5,SUCCESS,Active execution on GPU
154,RUNNING,1773939932.05,0.00,862.0,SUCCESS,Active execution on GPU
155,RUNNING,1773939937.05,0.00,1293.0,SUCCESS,Active execution on GPU
156,RUNNING,1773939942.05,0.00,1939.5,SUCCESS,Active execution on GPU
157,RUNNING,1773939997.07,0.00,862.0,SUCCESS,Active execution on GPU
158,RUNNING,1773940002.08,0.00,1293.0,SUCCESS,Active execution on GPU
159,RUNNING,1773940007.08,0.00,1939.5,SUCCESS,Active execution on GPU
160,RUNNING,1773940062.11,0.00,862.0,SUCCESS,Active execution on GPU
161,RUNNING,1773940067.11,0.00,1293.0,SUCCESS,Active execution on GPU
162,RUNNING,1773940072.12,0.00,1939.5,SUCCESS,Active execution on GPU
163,RUNNING,1773940127.14,0.00,862.0,SUCCESS,Active execution on GPU
164,RUNNING,1773940132.14,0.00,1293.0,SUCCESS,Active execution on GPU
165,RUNNING,1773940137.14,0.00,1939.5,SUCCESS,Active execution on GPU
166,RUNNING,1773940192.17,0.00,862.0,FAILURE,Active execution on GPU
167,RUNNING,1773940197.17,0.00,1293.0,FAILURE,Active execution on GPU
168,RUNNING,1773940202.17,0.00,1939.5,FAILURE,Active execution on GPU

STATE TRANSITION STATISTICS
State,Total Occurrences,Success Count,Failure Count,Avg Entry Time
RUNNING,168,165,3,N/A
